%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81763.793,302.375,0.942,0.420,0.083,-0.344,-3.566,-1.783,0.749,1.255,1.081,-1.764,-1.815,-3.424,-0.446,1.044,3.908,-2.867,3.246,2.198,-0.311,-1.125,-3.070,-0.046,-0.230,0.001,535.048,336.269
81763.793,302.372,0.942,0.586,0.162,0.136,-3.458,-2.229,1.070,1.464,0.433,-2.490,-2.136,-2.782,-0.893,1.357,3.275,-3.292,3.665,1.988,0.519,-1.238,-3.060,-0.026,-0.230,0.001,535.048,336.269
81775.888,302.368,0.942,0.715,0.241,-0.184,-3.243,-1.783,1.392,0.836,0.108,-1.453,-2.349,-2.675,-0.558,0.939,3.275,-3.292,3.665,0.837,-0.104,-0.788,-1.009,-0.046,-0.078,-0.000,535.048,336.269
81775.888,302.372,0.942,0.920,0.399,-0.344,-3.459,-1.895,1.285,1.359,0.108,-1.971,-2.563,-2.996,-0.558,1.044,3.381,-3.186,3.560,1.988,-0.622,-0.563,-1.019,-0.046,-0.088,0.000,535.048,336.269
81771.856,302.365,0.942,0.824,0.320,-0.024,-3.675,-2.118,0.428,1.359,1.081,-2.386,-2.029,-2.461,-0.447,1.252,3.592,-3.504,3.665,1.884,0.208,-1.463,-1.030,-0.046,-0.088,-0.000,535.048,336.269
81775.888,302.368,0.942,0.920,0.399,-0.184,-2.918,-1.226,0.642,1.255,0.541,-1.764,-2.563,-2.996,-0.670,0.626,2.958,-3.079,3.770,1.779,-0.622,-0.563,-1.019,-0.046,-0.078,0.000,535.048,336.269
81775.888,302.370,0.942,0.586,0.162,-0.024,-4.107,-1.449,0.963,1.045,0.541,-1.868,-1.922,-3.210,-0.670,1.461,2.641,-2.973,3.456,1.570,-0.311,-0.788,-0.999,-0.026,-0.098,-0.001,535.048,336.269
81767.825,302.367,0.942,0.824,0.320,-0.184,-3.134,-1.895,0.963,1.255,-0.108,-2.075,-1.922,-2.461,-0.223,0.939,3.698,-3.504,3.037,2.198,-0.104,-1.013,-1.009,-0.046,-0.058,-0.000,535.048,336.269
81775.888,302.368,0.942,0.824,0.320,-0.184,-3.459,-1.115,0.000,1.045,0.865,-2.387,-1.815,-2.782,0.224,0.731,3.486,-2.973,2.618,1.779,0.000,-1.013,-0.999,-0.026,-0.078,-0.000,535.048,336.269
81775.888,302.370,0.942,0.824,0.320,-0.344,-3.351,-1.115,0.963,0.732,1.298,-1.557,-2.669,-2.354,-0.447,0.626,3.170,-2.655,3.560,0.837,0.415,-0.788,-0.999,-0.026,-0.088,-0.001,535.048,336.269
